,addy,sub,spain,div,mex,mult2x1,faith,science
addy,0.295,0.02,0,0.07,0.135,0.27,0.045,0.055
sub,0.04,0.435,0,0.05,0.105,0.08,0.04,0.065
spain,0.015,0.02,0.234,0.01,0.065,0.065,0.09,0.085
div,0.015,0.03,0,0.665,0.17,0.245,0.035,0.06
mex,0.005,0.015,0,0.045,0.21,0.15,0.045,0.05
mult2x1,0.005,0.02,0,0.21,0.2,0.59,0.04,0.065
faith,0.015,0.02,0.02,0.02,0.065,0.06,0.285,0.305
science,0.015,0.02,0.025,0.025,0.07,0.06,0.3,0.295
,,,,,,,,
,,,,,,,,
,,,,,,,,
,addy,sub,spain,div,mex,mult2x1,faith,science
addy,0.295,0.2,0.125,0.375,0.19,0.365,0.195,0.175
sub,0.065,0.435,0.12,0.18,0.145,0.24,0.205,0.175
spain,0.03,0.08,0.234,0.055,0.105,0.13,0.2,0.205
div,0.11,0.175,0.12,0.665,0.19,0.37,0.21,0.175
mex,0.05,0.1,0.125,0.19,0.21,0.315,0.195,0.05
mult2x1,0.085,0.13,0.12,0.425,0.195,0.59,0.2,0.185
faith,0.025,0.08,0.075,0.055,0.11,0.13,0.285,0.32
science,0.035,0.085,0.08,0.05,0.09,0.14,0.29,0.295
