,addy,sub,spain,div,mex,mult2x1,faith,science
addy,0.99,0.55,0.00,0.91,0.37,0.93,0.10,0.12
sub,0.92,0.98,0.00,0.90,0.29,0.92,0.11,0.12
spain,0.64,0.10,0.24,0.53,0.24,0.51,0.41,0.45
div,0.91,0.62,0.00,1.00,0.40,0.77,0.11,0.11
mex,0.85,0.41,0.00,0.87,0.46,0.94,0.11,0.12
mult2x1,0.95,0.53,0.00,0.99,0.38,0.99,0.10,0.11
faith,0.63,0.08,0.13,0.51,0.24,0.51,0.62,0.60
science,0.62,0.08,0.13,0.51,0.25,0.50,0.63,0.59
,,,,,,,,
,,,,,,,,
,,,,,,,,
,addy,sub,spain,div,mex,mult2x1,faith,science
addy,0.99,0.87,0.24,1.00,0.41,0.97,0.61,0.60
sub,0.93,0.98,0.24,1.00,0.34,0.94,0.61,0.60
spain,0.91,0.79,0.24,0.92,0.30,0.89,0.65,0.60
div,0.98,0.88,0.23,1.00,0.42,0.99,0.64,0.61
mex,0.97,0.91,0.24,1.00,0.46,0.98,0.61,0.60
mult2x1,0.94,0.88,0.24,1.00,0.42,0.99,0.62,0.60
faith,0.90,0.78,0.23,0.91,0.31,0.90,0.62,0.61
science,0.90,0.77,0.23,0.91,0.32,0.90,0.63,0.59
